timeindex;heat_demand;temp_feed_flow;temp_back_flow;T_foerde_scaled;T_hs_ff;T_cons_ff;T_cons_bf;solar_heat_flow;el_spot_price;co2_price;ef_om;ef_dm;hp_c_1;hp_c_0;hp_Q_max;hp_Q_min;biogas_price;ice_H_max;ice_H_min;ice_eta_el;ice_eta_th
2040-01-18 06:00:00;81.2;83.69;40.8;6.01;6;83;40;0.0;144.566152408;126.0;0.4753576747712614;1.0195726932422615;3.2377545152649976;-0.1244622165044196;0.9692280213208312;0.2892179235678033;124.82;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2040-01-18 07:00:00;81.68;84.09;41.0;6.01;6;84;40;0.0;144.566152408;126.0;0.4905684780035889;1.0715373998931772;3.193536382721282;-0.1212345951954629;0.966916148088954;0.2888966701222799;124.82;2.6909435726880875;1.5656651556114982;0.4350227955399955;0.3523585378594898
2040-01-18 08:00:00;80.72;83.99;41.21;6.01;6;83;40;0.0;144.566152408;126.0;0.4477301344788591;0.9707937429398794;3.2377545152649976;-0.1244622165044196;0.9692280213208312;0.2892179235678033;124.82;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2040-01-18 09:00:00;77.32;83.83;41.36;6.01;6;83;40;0.0;144.566152408;126.0;0.4913076449315273;1.0499681090869497;3.2377545152649976;-0.1244622165044196;0.9692280213208312;0.2892179235678033;124.82;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2040-01-18 10:00:00;69.54;83.71;41.6;6.01;6;83;40;1.341189734366092e-05;144.566152408;126.0;0.4279197281221652;0.9248685521830396;3.2377545152649976;-0.1244622165044196;0.9692280213208312;0.2892179235678033;124.82;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2040-01-18 11:00:00;64.12;83.01;40.87;6.01;6;83;40;3.8149309724912255e-06;144.566152408;126.0;0.4128752087054554;0.90472212073259;3.2377545152649976;-0.1244622165044196;0.9692280213208312;0.2892179235678033;124.82;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2040-01-18 12:00:00;61.59;83.08;40.6;6.01;6;83;40;0.0002887324075438;144.566152408;126.0;0.4069172225478157;0.8928852923964125;3.2377545152649976;-0.1244622165044196;0.9692280213208312;0.2892179235678033;124.82;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2040-01-18 13:00:00;59.94;82.91;40.58;6.01;6;82;40;0.0003263867967643;144.566152408;126.0;0.4361631942557349;0.9294677834019212;3.2782906809801835;-0.1268181792028395;0.9728103672781194;0.2897927780723301;124.82;2.690943572688086;1.5656651556114989;0.435036015593531;0.3523585378594898
2040-01-18 14:00:00;56.72;80.77;40.82;6.01;6;80;40;0.0003008482930651;144.566152408;126.0;0.4873873900396708;1.0294290132066048;3.3574178703712434;-0.1306355043947266;0.9808158237232028;0.2912785464581527;124.82;2.6909435726880875;1.5656651556114982;0.435053025194775;0.3523585378594898
2040-01-18 15:00:00;62.22;81.48;40.4;6.01;6;81;40;0.0003396886380405;144.566152408;126.0;0.4908527540336677;1.0115971377383322;3.3188741334595755;-0.129058799710985;0.9765093163963556;0.2904109423857043;124.82;2.6909435726880857;1.565665155611498;0.435043925476487;0.3523585378594898
2040-01-18 16:00:00;67.15;81.46;40.57;6.01;6;81;40;0.0;144.566152408;126.0;0.5957885932738737;1.1736003224068;3.3188741334595755;-0.129058799710985;0.9765093163963556;0.2904109423857043;124.82;2.6909435726880857;1.565665155611498;0.435043925476487;0.3523585378594898
2040-01-18 17:00:00;68.86;82.89;40.23;6.01;6;82;40;0.0;144.566152408;126.0;0.6195063755317936;1.1736003224068;3.2782906809801835;-0.1268181792028395;0.9728103672781194;0.2897927780723301;124.82;2.690943572688086;1.5656651556114989;0.435036015593531;0.3523585378594898
2040-01-18 18:00:00;65.18;81.64;40.25;6.01;6;81;40;0.0;144.566152408;126.0;0.6319790255580584;1.1736003224068;3.3188741334595755;-0.129058799710985;0.9765093163963556;0.2904109423857043;124.82;2.6909435726880857;1.565665155611498;0.435043925476487;0.3523585378594898
2040-01-18 19:00:00;61.63;80.08;40.2;6.01;6;80;40;0.0;144.566152408;126.0;0.5153546699813684;1.0075873361832464;3.3574178703712434;-0.1306355043947266;0.9808158237232028;0.2912785464581527;124.82;2.6909435726880875;1.5656651556114982;0.435053025194775;0.3523585378594898
2040-01-18 20:00:00;59.29;78.86;40.46;6.01;6;78;40;0.0;141.428571429;126.0;0.3275738594447062;0.7427711774832609;3.433805524901165;-0.1332438379152731;0.9887066417036624;0.2931607487345157;124.82;2.6909435726880857;1.5656651556114989;0.4350757819482243;0.3523585378594898
2040-01-18 21:00:00;60.01;78.52;40.41;6.01;6;78;40;0.0;138.613;126.0;0.2250557480975382;0.5895458035090242;3.433805524901165;-0.1332438379152731;0.9887066417036624;0.2931607487345157;124.82;2.6909435726880857;1.5656651556114989;0.4350757819482243;0.3523585378594898
2040-01-18 22:00:00;59.42;78.26;40.5;6.01;6;78;40;0.0;125.164285714;126.0;0.2218795441300799;0.5895458035090242;3.433805524901165;-0.1332438379152731;0.9887066417036624;0.2931607487345157;124.82;2.6909435726880857;1.5656651556114989;0.4350757819482243;0.3523585378594898
2040-01-18 23:00:00;59.88;78.11;40.46;6.01;6;78;40;0.0;122.672505;126.0;0.2313413846012435;0.5895458035090241;3.433805524901165;-0.1332438379152731;0.9887066417036624;0.2931607487345157;124.82;2.6909435726880857;1.5656651556114989;0.4350757819482243;0.3523585378594898
2040-01-19 00:00:00;60.95;78.38;40.3;5.67;5;78;40;0.0;122.047058824;126.0;0.1704570524921519;0.5074586710531199;3.385556961318612;-0.1317000166250534;0.9900777620183904;0.2943705928224528;124.82;2.6909435726880857;1.5656651556114989;0.4350757819482243;0.3523585378594898
2040-01-19 01:00:00;62.2;78.97;40.51;5.67;5;78;40;0.0;117.09858345;126.0;0.1308447858286647;0.4455999999999999;3.385556961318612;-0.1317000166250534;0.9900777620183904;0.2943705928224528;124.82;2.6909435726880857;1.5656651556114989;0.4350757819482243;0.3523585378594898
2040-01-19 02:00:00;63.32;79.94;40.61;5.67;5;79;40;0.0;117.09858345;126.0;0.129063048009064;0.4455999999999999;3.3471004927527006;-0.1302472259530238;0.9867648765355862;0.2934953556634301;124.82;2.6909435726880857;1.5656651556114982;0.4350635508497109;0.3523585378594898
2040-01-19 03:00:00;66.57;81.49;40.29;5.67;5;81;40;0.0;117.09858345;126.0;0.1233061144708528;0.4455999999999999;3.2687743197839785;-0.1264949436186651;0.9786522539610324;0.2920193505515811;124.82;2.6909435726880857;1.565665155611498;0.435043925476487;0.3523585378594898
2040-01-19 04:00:00;69.6;83.29;40.07;5.67;5;83;40;0.0;122.047058824;126.0;0.1829586699114646;0.5643400997617547;3.18782128883684;-0.1215500854062717;0.971888096256765;0.2909575407506682;124.82;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2040-01-19 05:00:00;70.69;84.19;40.15;5.67;5;84;40;0.0;125.164285714;126.0;0.1952853864421254;0.5895458035090244;3.14299832784045;-0.118018210138779;0.9700701101650794;0.2907245209464165;124.82;2.6909435726880875;1.5656651556114982;0.4350227955399955;0.3523585378594898
2040-01-19 06:00:00;71.93;84.6;40.11;5.67;5;84;40;0.0;141.428571429;126.0;0.3004440887740414;0.7850810966149099;3.14299832784045;-0.118018210138779;0.9700701101650794;0.2907245209464165;124.82;2.6909435726880875;1.5656651556114982;0.4350227955399955;0.3523585378594898
