date;heat_demand;temp_feed_flow;temp_back_flow;T_foerde_scaled;T_hs_ff;T_cons_ff;T_cons_bf;solar_heat_flow;el_spot_price;co2_price;ef_om;ef_dm;hp_c_1;hp_c_0;hp_Q_max;hp_Q_min;biogas_price;ice_H_max;ice_H_min;ice_eta_el;ice_eta_th
2019-09-10 20:00:00;20.49;83.2;39.37;14.72;14;83;40;0.0;42.75;25.75;0.478006944;0.672403431;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-10 21:00:00;18.93;83.17;39.44;14.72;14;83;40;0.0;35.89;25.75;0.472578011;0.671302941;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-10 22:00:00;18.69;83.2;39.47;14.72;14;83;40;0.0;31.7;25.75;0.471312445;0.664000793;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-10 23:00:00;18.89;83.24;39.48;14.72;14;83;40;0.0;31.25;25.75;0.459970046;0.64978539;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-11 00:00:00;18.94;83.09;39.69;14.67;14;83;40;0.0;30.23;25.75;0.452736853;0.642329687;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-11 01:00:00;19.41;83.01;39.86;14.67;14;83;40;0.0;28.62;25.75;0.437622698;0.638810046;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-11 02:00:00;19.34;83.02;40.01;14.67;14;83;40;0.0;28.88;25.75;0.431381423;0.640605225;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-11 03:00:00;20.44;83.09;39.73;14.67;14;83;40;0.0;29.9;25.75;0.433844426;0.645023176;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-11 04:00:00;21.83;81.74;39.82;14.67;14;81;40;0.0;30.64;25.75;0.446806789;0.659487534;3.3026972647697357;-0.12990141317532594;0.9736176157625845;0.28116082978531903;84.07;2.6909435726880857;1.565665155611498;0.435043925476487;0.3523585378594898
2019-09-11 05:00:00;26.49;80.28;38.84;14.67;14;80;40;0.0;38.82;25.75;0.458255258;0.675763504;3.3419133622384423;-0.13031594092185156;0.9736077238145995;0.28070367875022545;84.07;2.6909435726880875;1.5656651556114982;0.435053025194775;0.3523585378594898
2019-09-11 06:00:00;26.08;80.04;38.56;14.67;14;80;40;0.0;42.57;25.75;0.444457035;0.675019304;3.3419133622384423;-0.13031594092185156;0.9736077238145995;0.28070367875022545;84.07;2.6909435726880875;1.5656651556114982;0.435053025194775;0.3523585378594898
2019-09-11 07:00:00;23.35;79.94;38.72;14.67;14;79;40;0.0;43.25;25.75;0.408714825;0.675753014;3.381760799126883;-0.1306779242270728;0.973580391236232;0.28025050057057577;84.07;2.6909435726880857;1.5656651556114982;0.4350635508497109;0.3523585378594898
2019-09-11 08:00:00;21.5;81.6;38.85;14.67;14;81;40;0.0001031441272488;39.82;25.75;0.370034229;0.678185277;3.3026972647697357;-0.12990141317532594;0.9736176157625845;0.28116082978531903;84.07;2.6909435726880857;1.565665155611498;0.435043925476487;0.3523585378594898
2019-09-11 09:00:00;20.28;81.85;38.83;14.67;14;81;40;0.0002848916929103;36.29;25.75;0.326306079;0.67185345;3.3026972647697357;-0.12990141317532594;0.9736176157625845;0.28116082978531903;84.07;2.6909435726880857;1.565665155611498;0.435043925476487;0.3523585378594898
