;Q_ccet;Q_demand;Q_in_st-tes;Q_out_hp1;Q_out_hp2;Q_out_hp3;Q_out_hp4;Q_out_hp5;Q_out_hp6;Q_out_hp7;Q_out_st-tes;Q_plb;Q_out_hp;MIPGap
1.6;151815.44506348768;1172909.70330068;377819.1257516153;247909.76659032924;245300.9704774877;123964.25249679745;115551.44738508612;107918.54673464266;95210.19927463072;83104.73554886851;376233.4764093887;3719.9890715764977;1018959.9185078426;0.132
1.6099999999999999;151368.47847276655;1172909.70330068;380340.55796084495;250974.51680393977;215159.64683739637;191502.1876367094;106960.28907609673;97780.49976945115;90131.6735838736;68190.14166414854;378755.19748651143;2427.629930631324;1020698.9553716155;0.123
1.62;149471.31803600898;1172909.70330068;379698.8235575225;241902.59301147392;155690.89175646484;145841.69385292617;146721.3610995282;122611.85127164262;113270.32848592233;97037.82993841058;378108.1353170871;1952.5240887367554;1023076.5494163686;0.199
1.63;147280.26594851114;1172909.70330068;377994.31916803593;252134.4033957284;250271.59801646182;154791.34242579687;100923.6361660667;93857.8506429365;93063.71931335438;80318.58124322206;376401.11322122;1861.5120954179397;1025361.1312035667;0.165
1.6400000000000001;144136.10570307646;1172909.70330068;375493.40658184886;223216.45736109768;171525.6207106937;141354.36071976833;142714.627704244;122801.7889925208;121915.32487249414;104643.36014945072;373910.48102624255;2184.98264295941;1028171.5405102693;0.218
1.65;142554.4037553144;1172909.70330068;372525.95776353305;251562.51896919383;170224.15172378696;150231.32772007943;130256.9740959463;129085.80660275352;106780.46978677472;91922.99378268312;370950.3255243968;1866.689096488304;1030064.2426812178;0.127
1.6600000000000001;138841.11036057025;1172909.70330068;372305.86416190217;194396.36578205758;174086.58329641528;165750.6642388958;137322.8716259318;122272.01998677093;129081.21335020829;111371.72627149991;370736.08005764335;1356.9324925945812;1034281.4445517794;0.307
1.67;133661.50814991604;1172909.70330068;370974.04268196697;236603.38934248057;209794.52510470347;200020.18024539953;151547.74706112695;129133.70659038782;81051.92953839833;31603.148286304197;369418.3446472207;1049.2670167147762;1039754.626168801;0.374
1.6800000000000002;126513.46401648462;1172909.70330068;365380.30976486823;191673.74958726577;170129.6716009599;156926.01927126804;137231.13903067278;134505.34931629538;133506.80636531833;122842.20713929011;363834.7642518145;1126.8424861787782;1046814.9423110703;0.284
1.69;115008.01521879756;1172909.70330068;376084.26710592007;213561.5271605238;179032.28294485115;166612.21882142697;183094.40369937825;155350.7342380134;103279.90194440194;58479.86280221483;374538.66050614906;36.363070843116176;1059410.9316108103;0.333
1.7;94844.32492373872;1172909.70330068;408543.3967658462;190977.49664624373;182898.357604418;214614.35972095147;177869.41131447157;148800.5234797694;104772.39371058918;59695.36588017337;406941.502860655;39.363925515633625;1079627.9083566167;0.144
1.71;71927.78007201405;1172909.70330068;450414.7180811197;187119.57456173524;198438.7114483928;183322.44725688847;159720.38452058972;145165.42126097434;140182.52482898653;88695.1637509805;448752.2713681985;0.1423130396146916;1102644.2276285477;0.099
1.72;39589.78988795092;1172909.70330068;506564.54438007815;195488.7066502499;195961.2410404441;198795.73572945248;178526.29381773347;162069.7211530444;160565.7906709631;43633.2756054942;504836.6001820794;7.092943346030028;1135040.7646673818;0.097
1.73;12678.50570613612;1172909.70330068;551632.3235070095;184686.14971616564;184903.1549232837;185499.80001186533;185840.06529459907;177299.2852873971;154492.55250807927;89294.82935918936;549844.8863066474;2.7976943265406646;1162015.8371005796;0.088
1.74;0.0;1172909.70330068;568963.3777493624;188768.31269198665;186645.62639950565;178719.0081462203;175650.93915666465;168656.89862940536;146596.7331781192;129497.11992611724;567172.070038311;166.37288371232927;1174534.638128019;0.063
1.75;0.0;1172909.70330068;568974.9919756717;188371.08534124083;185310.3310274647;179298.4013969885;176817.4601827731;155773.10256534434;144718.78040381183;144246.4356155013;567185.6564771108;163.44226611628795;1174535.5965331248;0.062
1.76;0.0;1172909.70330068;568860.7383100396;188413.93180828553;186540.0018248897;182195.70190074563;182364.1553516854;153963.06441468679;143094.29341707332;138014.01688578216;567070.7484951683;114.5275124027396;1174585.1656031483;0.05
