;LCOH;Total Emissions DM;Total Emissions OM;allowed_bew_invest_bonus;balance_total;ccet_chp_bonus_real;cost_el;cost_el_grid;cost_el_internal;cost_gas;cost_total;gap;invest_total;net present value;objective;op_cost_total;revenues_chpbonus;revenues_heat;revenues_hp_bew_op_bonus;revenues_spotmarket;revenues_total;total_bew_invest_bonus;total_heat_demand
1.1;47.37575533123125;-5.688309030681873e+19;4488.0976786556275;0.0;68883806.4510017;34.04900066720561;0.0;0.0;0.0;234898249.53031644;258726278.43700588;0.03131562577164842;429225927.9608954;429218557.22630024;-63982614.55595205;23828028.90668943;0.0;90009090.63129418;0.0;237600994.25671342;327610084.8880076;0.0;1172909.70330068
1.11;48.48528172903142;-5.699255108459439e+19;5904.063948310824;0.0;67399721.05270341;34.04915405522758;0.0;0.0;0.0;236407451.24645415;260160372.80603394;0.02081562837462266;426948943.5484162;413000557.2388939;-62480176.31198505;23752921.559579782;0.0;90009090.63129418;0.0;237551003.22744316;327560093.85873735;0.0;1172909.70330068
1.12;49.871246705663815;-5.6688217221149e+19;6391.399312490947;0.0;65851142.166879445;34.04915405522758;0.0;0.0;0.0;237899970.2881704;261683930.5042549;0.034569389583735365;427908943.5484162;392741841.4317395;-60962793.337231256;23783960.216084506;0.0;90009090.63129418;0.0;237525982.0398402;327535072.67113435;0.0;1172909.70330068
1.13;51.152641945794784;-5.6713940456453366e+19;6310.160901910043;0.0;64346687.23170856;34.049156230632555;0.0;0.0;0.0;239415418.1488773;263198800.33897582;0.027133798915197162;427890324.7038565;374011626.42332715;-59458519.98527705;23783382.190098513;0.0;90009090.63129418;0.0;237536396.93939018;327545487.5706844;0.0;1172909.70330068
1.14;52.35763919889499;-5.6910150487078126e+19;6375.435871901529;0.0;62857795.40165156;34.04915405522758;0.0;0.0;0.0;240897624.7503193;264650095.9787838;0.047082637695737076;426948943.5484162;356398124.41530794;-57938255.748724855;23752471.228464477;0.0;90009090.63129418;0.0;237498800.74914116;327507891.38043535;0.0;1172909.70330068
1.15;54.48063557168435;-5.671538831233705e+19;8522.056369275677;0.0;60997799.617649674;34.049479559578195;0.0;0.0;0.0;242365312.3924336;266370403.2403193;0.011269955201325005;434801223.53806233;325366185.72919273;-56450388.06908604;24005090.847885698;0.0;90009090.63129418;0.0;237359112.2266748;327368202.857969;0.0;1172909.70330068
1.16;54.91687945691693;-5.689137711090149e+19;6229.642792650247;0.0;59854543.64568192;34.049156230632555;0.0;0.0;0.0;243974872.5557038;267727357.71321756;0.023682439055197752;426930324.7038565;318989588.16537136;-54935193.93970033;23752485.157513767;0.0;90009090.63129418;0.0;237572810.72760528;327581901.3588995;0.0;1172909.70330068
1.17;57.092513964230264;-5.6728727248990994e+19;8484.399339964108;0.0;57981324.69176507;34.04941028176112;0.0;0.0;0.0;245399864.34092823;269424548.9995024;0.022111360266553592;435387228.8778719;287188235.37001157;-53428212.78417123;24024684.658574164;0.0;90009090.63129418;0.0;237396783.05997333;327405873.6912675;0.0;1172909.70330068
1.18;58.354425091654136;-5.680262647794039e+19;8806.802506259264;0.0;56467456.35800934;34.04946000108579;0.0;0.0;0.0;246886098.86474562;270896484.34335256;0.02584497751688332;434966498.08043456;268742820.5612744;-51918453.030617595;24010385.47860695;0.0;90009090.63129418;0.0;237354850.0700677;327363940.7013619;0.0;1172909.70330068
1.19;59.56864788769844;-5.702497863186758e+19;10111.732816158605;0.0;54953274.75882709;34.049593046552246;0.0;0.0;0.0;248366369.9127204;272339155.617848;0.017202674019704576;433844800.7014716;250994468.35442466;-50415195.88459001;23972785.705127575;0.0;90009090.63129418;0.0;237283339.7453809;327292430.37667507;0.0;1172909.70330068
1.2;60.83360381899016;-5.640884273095153e+19;11406.95500348803;0.0;53391441.746195436;34.049809724470485;0.0;0.0;0.0;249725905.0269657;273664034.3729015;0.03682248304318884;432870830.0294379;232504547.5031197;-48898350.04664437;23938129.345935777;0.0;90009090.63129418;0.0;237046385.48780277;327055476.11909693;0.0;1172909.70330068
1.21;62.00546271741955;-5.5824488421384995e+19;15018.936653678149;0.0;51830604.814427316;34.0502212831904;0.0;0.0;0.0;251137251.60490355;274996305.4326518;0.0076856378192035266;430548468.98120564;215375430.39725298;-47405779.746845745;23859053.827748295;0.0;90009090.63129418;0.0;236817819.61578494;326826910.24707913;0.0;1172909.70330068
1.22;63.13558430435418;-5.563110595581166e+19;17527.460466187127;0.0;50299750.26114845;34.05053531016368;0.0;0.0;0.0;252507558.63082534;276279996.5602317;0.006604484835980903;427989678.3783337;198856389.55332863;-45899875.14506433;23772437.92940636;0.0;90009090.63129418;0.0;236570656.19008595;326579746.82138014;0.0;1172909.70330068
1.23;64.58265008707552;-5.587739073167549e+19;15236.917322217203;0.0;48801761.19119483;34.050230458407555;0.0;0.0;0.0;254071345.44802916;277926899.9701316;0.04308534469178711;430473252.68583983;177704560.36523467;-44377692.77928126;23855554.522102397;0.0;90009090.63129418;0.0;236719570.53003222;326728661.1613264;0.0;1172909.70330068
1.24;65.82796823118909;-5.573438716584404e+19;15395.873446507037;0.0;47297569.80378294;34.050296755801945;0.0;0.0;0.0;255581078.84116817;279418566.2888184;0.02908883960150557;429930577.60507256;159501685.98063785;-42878787.35937635;23837487.44765026;0.0;90009090.63129418;0.0;236707045.46130717;326716136.09260136;0.0;1172909.70330068
1.25;66.70234213998081;-5.510266692998924e+19;22040.369104352554;0.0;45737697.22026628;34.051124716063384;0.0;0.0;0.0;256807664.40353796;280420689.46073955;0.005782358172591688;423271882.2627584;146720921.07960618;-41383822.96193751;23613025.057201594;0.0;90009090.63129418;0.0;236149296.04971167;326158386.68100584;0.0;1172909.70330068
1.26;68.0996352376676;-5.543898405786379e+19;19930.708929756423;0.0;44248022.21741408;34.05089075051749;0.0;0.0;0.0;258366379.27582377;282041889.24577135;0.014164553445754466;425131538.5251503;126296621.58964634;-39876023.68843464;23675509.96994758;0.0;90009090.63129418;0.0;236280820.83189124;326289911.4631854;0.0;1172909.70330068
1.27;69.19103357189348;-5.483262497546371e+19;23214.253182399094;0.0;42693818.99392909;34.05132215423835;0.0;0.0;0.0;259629818.43102866;283189047.2860036;0.05844496528808515;421715752.26125646;110343600.3674165;-38355122.90615941;23559228.85497495;0.0;90009090.63129418;0.0;235873775.64863852;325882866.2799327;0.0;1172909.70330068
1.28;70.33400239481821;-5.45454168202329e+19;25557.876243451432;0.0;41190501.017287016;34.05158174129151;0.0;0.0;0.0;261118180.39632085;284609773.82282865;0.00624100669498182;419687916.926426;93636770.86561185;-36871577.700044565;23491593.426507797;0.0;90009090.63129418;0.0;235791184.2088215;325800274.84011567;0.0;1172909.70330068
1.29;71.55246338608092;-5.442464136257707e+19;27255.500403155824;0.0;39670888.81929207;34.05172720412118;0.0;0.0;0.0;262506499.66582578;285959417.310917;0.021878347744864392;418560492.1833209;75826468.75821441;-35362959.27853034;23452917.645091217;0.0;90009090.63129418;0.0;235621215.4989149;325630306.1302091;0.0;1172909.70330068
1.3;72.78651141881862;-5.312132133806799e+19;26712.861583324695;0.0;38186453.7000097;34.05204570712503;173901.42185701148;148762.9097186498;25138.51213836166;262433211.01642245;285933696.6939428;0.06737038390832568;418099288.1189847;57788330.12620038;-33848303.00647002;23326584.255663324;0.0;90009090.63129418;0.0;234111059.7626583;324120150.3939525;0.0;1172909.70330068
1.31;73.4638970194104;-3.618267084753174e+19;26709.610860156467;0.0;36818730.9767043;34.05331163589346;855056.7162566277;712649.2362594677;142407.47999716;257184386.29126507;280860588.68096256;0.12150282332506046;410955817.30674696;47886952.67033452;-32353970.068830132;22821145.67344088;0.0;90009090.63129418;0.0;227670229.02637267;317679319.65766686;0.0;1172909.70330068
1.32;73.39927810980433;3.754377841505099e+18;26857.067588569615;0.0;35643179.91442147;34.055968852597836;2473881.8321772027;2049833.3683816695;424048.4637955333;242606285.67127395;266770701.74545816;0.4442437021513587;395361315.0332502;48831490.337266326;-30848049.674257033;21690534.242007017;0.0;90009090.63129418;0.0;212404791.02858543;302413881.6598796;0.0;1172909.70330068
1.33;72.92970196744851;1.0225637742467353e+19;29700.06182455626;0.0;34529345.67258787;34.06028346481977;3597376.633168509;2743855.506474705;853521.1266938045;226096274.75180995;250002372.34406543;0.4074201450449763;374616661.67747766;55695307.08458507;-29585899.553715188;20308720.95908694;0.0;90009090.63129418;0.0;194522627.38535914;284531718.0166533;0.0;1172909.70330068
1.34;62.32940208912464;1.5424971052959113e+19;79645.72310469094;0.0;33662403.84261234;34.15896816397865;10566170.614609275;5867457.827743708;4698712.786865566;88904203.60462031;109245442.27030744;0.12026704067737244;208867564.08729562;210640393.23486552;-28699802.165154457;9775068.05107786;0.0;90009090.63129418;0.0;52898755.4816256;142907846.11291978;0.0;1172909.70330068
1.35;60.50041024808608;1.427291269474853e+19;90573.69102733707;0.0;33076098.455908507;34.228370492712486;11757280.588941842;6322036.298843972;5435244.29009787;64481703.12205166;84073075.45445427;0.043436455369286864;174826442.53391895;237374853.73417476;-28305582.128745064;7834091.743460774;0.0;90009090.63129418;0.0;27140083.279068597;117149173.91036278;0.0;1172909.70330068
1.36;60.581615336941674;1.419940204001257e+19;95381.52551899095;0.0;32676348.044896394;34.2378657935397;12335549.966423292;6829937.132854114;5505612.8335691765;59853238.26209091;79754314.44914545;0.03878355697609468;171031647.4631624;236187875.09838155;-27964345.115950413;7565526.220631257;0.0;90009090.63129418;0.0;22421571.862747673;112430662.49404185;0.0;1172909.70330068
1.37;60.74080378881545;1.447069039660385e+19;98710.17238371487;0.0;32325222.617871493;34.24258097927786;12780685.025932206;7219954.501804575;5560730.5241276305;56565898.62501652;76738065.6299881;0.053606319923155815;168982713.68716127;233861009.94618416;-27641253.366089314;7391481.979039385;0.0;90009090.63129418;0.0;19054197.61656542;109063288.2478596;0.0;1172909.70330068
1.38;60.822089005773144;1.5272666399499082e+19;102086.81390274008;0.0;31970418.67741938;34.25259185640998;13303553.4713039;7693784.217864888;5609769.253439013;52751621.035298035;73224167.31522538;0.06542547677688601;165749222.22294736;232672860.07412183;-27339105.488548443;7168992.808623451;0.0;90009090.63129418;0.0;15185495.361350577;105194585.99264476;0.0;1172909.70330068
1.39;60.91829422026641;1.7176877862870204e+19;104273.98683719756;0.0;31650261.074577495;34.26082157541158;13728220.474020127;8065043.87526236;5663176.598757766;49410362.81064007;70119879.19999255;0.0940315643787938;163165587.0173435;231266623.89034674;-27055802.630880807;6981295.915332365;0.0;90009090.63129418;0.0;11761049.643275876;101770140.27457005;0.0;1172909.70330068
1.4;61.03522692252322;1.9148986649411166e+19;105614.21977260306;0.0;31346931.388652638;34.26656039895791;14240028.766121905;8567015.150960634;5673013.615161273;46937478.16642916;68018929.41955616;0.09306521864843623;161094639.5238415;229557413.03471655;-26798561.91188565;6841422.487005084;0.0;90009090.63129418;0.0;9356770.176914621;99365860.8082088;0.0;1172909.70330068
1.41;61.20497239281492;1.9429721251779457e+19;106239.72992947401;0.0;31090830.269322492;34.26932522324538;14672006.64068374;9007277.060664348;5664729.580019393;45496272.58132981;66933790.16304723;0.0973314407983203;160384231.0969771;227076235.44352877;-26550487.57665415;6765510.941033683;0.0;90009090.63129418;0.0;8015529.801075552;98024620.43236972;0.0;1172909.70330068
1.42;61.36556426787845;1.948994635231364e+19;106883.6216830795;0.0;30843945.9318825;34.27184317716311;14936594.928402353;9267293.353407457;5669301.574994896;44359609.964422174;65998447.70354442;0.0953907307321115;159654885.6090549;224728856.38799515;-26311710.0332333;6702242.8107199;0.0;90009090.63129418;0.0;6833303.004132743;96842393.63542692;0.0;1172909.70330068
1.43;61.51661524724821;2.012316580709786e+19;106881.96257158363;0.0;30601565.755582333;34.27305466003065;15165775.447143596;9497777.50263381;5667997.944509787;43619047.95598426;65436342.00215563;0.09034359435188076;158842212.1997425;222520937.05739295;-26080096.968311124;6651518.599027785;0.0;90009090.63129418;0.0;6028817.126443785;96037907.75773796;0.0;1172909.70330068
